parola;word;colore;corrAns;congruente;HumanLoop.thisRepN;HumanLoop.thisTrialN;HumanLoop.thisN;HumanLoop.thisIndex;FullPracticeLoop.thisRepN;FullPracticeLoop.thisTrialN;FullPracticeLoop.thisN;FullPracticeLoop.thisIndex;PracticeLoop.thisRepN;PracticeLoop.thisTrialN;PracticeLoop.thisN;PracticeLoop.thisIndex;ControbilanciamewntoLoop.thisRepN;ControbilanciamewntoLoop.thisTrialN;ControbilanciamewntoLoop.thisN;ControbilanciamewntoLoop.thisIndex;ItaLoop.thisRepN;ItaLoop.thisTrialN;ItaLoop.thisN;ItaLoop.thisIndex;EngLoop.thisRepN;EngLoop.thisTrialN;EngLoop.thisN;EngLoop.thisIndex;human_txt.started;human_txt.stopped;math_txt.started;math_txt.stopped;textbox.text;textbox.started;textbox.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;practice_ms.x;practice_ms.y;practice_ms.leftButton;practice_ms.midButton;practice_ms.rightButton;practice_ms.time;practice_ms.clicked_name;practice_ms.started;practice_ms.stopped;fixation_txt.started;fixation_txt.stopped;blocco;order;practice_txt.started;practice_txt.stopped;practice_kb.keys;practice_kb.corr;practice_kb.rt;practice_kb.started;practice_kb.stopped;eng_txt.started;eng_txt.stopped;eng_kb.keys;eng_kb.corr;eng_kb.rt;eng_kb.started;eng_kb.stopped;ita_txt.started;ita_txt.stopped;ita_kb.keys;ita_kb.corr;ita_kb.rt;ita_kb.started;ita_kb.stopped;likert_txt.started;likert_txt.stopped;likert_sld.response;likert_sld.rt;likert_sld.started;likert_sld.stopped;likert_bt.numClicks;likert_bt.timesOn;likert_bt.timesOff;participant;session;date;expName;psychopyVersion;frameRate;
blu;blue;blue;right;cong;;;;;;;;;;;;;0;0;0;0;;;;;0;7;7;10;;;;;;;;;;;;;;;;;;;;;;43.36410639301175;None;ENG;ENG_ITA;;;;;;;;43.864253784995526;None;right;1;0.6424541499873158;43.864253784995526;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;blue;right;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;8;8;7;;;;;;;;;;;;;;;;;;;;;;44.531151862000115;None;ENG;ENG_ITA;;;;;;;;45.031096620019525;None;right;1;0.5323936599888839;45.031096620019525;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;red;left;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;9;9;4;;;;;;;;;;;;;;;;;;;;;;45.581121319992235;None;ENG;ENG_ITA;;;;;;;;46.08152554600383;None;left;1;0.4832230579922907;46.08152554600383;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;green;down;incong;;;;;;;;;;;;;0;0;0;0;;;;;0;10;10;2;;;;;;;;;;;;;;;;;;;;;;46.58132003401988;None;ENG;ENG_ITA;;;;;;;;47.08126616801019;None;down;1;0.36892104597063735;47.08126616801019;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;red;left;cong;;;;;;;;;;;;;0;0;0;0;;;;;0;11;11;1;;;;;;;;;;;;;;;;;;;;;;47.48093916400103;None;ENG;ENG_ITA;;;;;;;;47.98157758201705;None;left;1;0.7198073549661785;47.98157758201705;None;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;green;down;incong;;;;;;;;;;;;;1;0;1;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;50.30195347999688;None;ITA;ENG_ITA;;;;;;;;;;;;;;;50.814258419995895;None;down;1;0.6274040199932642;50.814258419995895;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;green;down;cong;;;;;;;;;;;;;1;0;1;0;0;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;51.46455224399688;None;ITA;ENG_ITA;;;;;;;;;;;;;;;51.964600478007924;None;down;1;0.34968219697475433;51.964600478007924;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;red;left;cong;;;;;;;;;;;;;1;0;1;0;0;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;52.33125437499257;None;ITA;ENG_ITA;;;;;;;;;;;;;;;52.83085095899878;None;left;1;0.5213232329988386;52.83085095899878;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;blue;right;incong;;;;;;;;;;;;;1;0;1;0;0;3;3;7;;;;;;;;;;;;;;;;;;;;;;;;;;53.38105698800064;None;ITA;ENG_ITA;;;;;;;;;;;;;;;53.881042279012036;None;right;1;0.4425057249609381;53.881042279012036;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;green;down;incong;;;;;;;;;;;;;1;0;1;0;0;4;4;9;;;;;;;;;;;;;;;;;;;;;;;;;;54.34761678299401;None;ITA;ENG_ITA;;;;;;;;;;;;;;;54.847360359999584;None;down;1;0.615666928992141;54.847360359999584;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;red;left;incong;;;;;;;;;;;;;1;0;1;0;0;5;5;8;;;;;;;;;;;;;;;;;;;;;;;;;;55.48106792801991;None;ITA;ENG_ITA;;;;;;;;;;;;;;;55.980744094005786;None;left;1;0.5076719619974028;55.980744094005786;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;red;left;incong;;;;;;;;;;;;;1;0;1;0;0;6;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;56.51430184399942;None;ITA;ENG_ITA;;;;;;;;;;;;;;;57.014152481016936;None;left;1;0.37380667199613526;57.014152481016936;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
verde;green;green;down;cong;;;;;;;;;;;;;1;0;1;0;0;7;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;57.41440047399374;None;ITA;ENG_ITA;;;;;;;;;;;;;;;57.91426916999626;None;down;1;0.6592266799707431;57.91426916999626;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;blue;right;incong;;;;;;;;;;;;;1;0;1;0;0;8;8;3;;;;;;;;;;;;;;;;;;;;;;;;;;58.59772501999396;None;ITA;ENG_ITA;;;;;;;;;;;;;;;59.09784528601449;None;right;1;0.3868036049825605;59.09784528601449;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;blue;right;cong;;;;;;;;;;;;;1;0;1;0;0;9;9;11;;;;;;;;;;;;;;;;;;;;;;;;;;59.51423835399328;None;ITA;ENG_ITA;;;;;;;;;;;;;;;60.014362051995704;None;right;1;0.3373759319947567;60.014362051995704;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
blu;blue;blue;right;cong;;;;;;;;;;;;;1;0;1;0;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;60.38092386801145;None;ITA;ENG_ITA;;;;;;;;;;;;;;;60.881144770013634;None;right;1;0.44283535398426466;60.881144770013634;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
rosso;red;red;left;cong;;;;;;;;;;;;;1;0;1;0;0;11;11;1;;;;;;;;;;;;;;;;;;;;;;;;;;61.34753582201665;None;ITA;ENG_ITA;;;;;;;;;;;;;;;61.847601098997984;None;left;1;0.6132626089965925;61.847601098997984;None;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
;;;;;;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;01;2022-10-21_07h19.08.155;stroop;2022.1.4;59.95369715585539;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.696041467017494;None;9.014285714285714;9.387332947022514;62.696041467017494;None;1;[12.008336487022461];[12.008341121021658];;;;;;;
