parola;word;colore;corrAns;congruente;HumanLoop.thisRepN;HumanLoop.thisTrialN;HumanLoop.thisN;HumanLoop.thisIndex;FullPracticeLoop.thisRepN;FullPracticeLoop.thisTrialN;FullPracticeLoop.thisN;FullPracticeLoop.thisIndex;PracticeLoop.thisRepN;PracticeLoop.thisTrialN;PracticeLoop.thisN;PracticeLoop.thisIndex;ControbilanciamewntoLoop.thisRepN;ControbilanciamewntoLoop.thisTrialN;ControbilanciamewntoLoop.thisN;ControbilanciamewntoLoop.thisIndex;ItaLoop.thisRepN;ItaLoop.thisTrialN;ItaLoop.thisN;ItaLoop.thisIndex;EngLoop.thisRepN;EngLoop.thisTrialN;EngLoop.thisN;EngLoop.thisIndex;human_txt.started;human_txt.stopped;math_txt.started;math_txt.stopped;textbox.text;textbox.started;textbox.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;practice_ms.x;practice_ms.y;practice_ms.leftButton;practice_ms.midButton;practice_ms.rightButton;practice_ms.time;practice_ms.clicked_name;practice_ms.started;practice_ms.stopped;fixation_txt.started;fixation_txt.stopped;blocco;order;practice_txt.started;practice_txt.stopped;practice_kb.keys;practice_kb.corr;practice_kb.rt;practice_kb.started;practice_kb.stopped;ita_txt.started;ita_txt.stopped;ita_kb.keys;ita_kb.corr;ita_kb.rt;ita_kb.started;ita_kb.stopped;eng_txt.started;eng_txt.stopped;eng_kb.keys;eng_kb.corr;eng_kb.rt;eng_kb.started;eng_kb.stopped;likert_txt.started;likert_txt.stopped;likert_sld.response;likert_sld.rt;likert_sld.started;likert_sld.stopped;likert_bt.numClicks;likert_bt.timesOn;likert_bt.timesOff;participant;session;date;expName;psychopyVersion;frameRate;
rosso;red;red;left;cong;;;;;;;;;;;;;0;0;0;0;0;7;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;45.473911909008166;None;ITA;ITA_ENG;;;;;;;;45.97395283501828;None;left;1;1.1699830449651927;45.97395283501828;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;green;down;incong;;;;;;;;;;;;;0;0;0;0;0;8;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;47.173789758002385;None;ITA;ITA_ENG;;;;;;;;47.67385088701849;None;down;1;0.43994375798502006;47.67385088701849;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;blue;right;incong;;;;;;;;;;;;;0;0;0;0;0;9;9;3;;;;;;;;;;;;;;;;;;;;;;;;;;48.140696586022386;None;ITA;ITA_ENG;;;;;;;;48.64037549000932;None;right;1;1.078482543991413;48.64037549000932;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;blue;right;cong;;;;;;;;;;;;;0;0;0;0;0;10;10;11;;;;;;;;;;;;;;;;;;;;;;;;;;49.74042918300256;None;ITA;ITA_ENG;;;;;;;;50.24056476002443;None;right;1;0.7897688579978421;50.24056476002443;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;blue;right;cong;;;;;;;;;;;;;0;0;0;0;0;11;11;10;;;;;;;;;;;;;;;;;;;;;;;;;;51.05733799102018;None;ITA;ITA_ENG;;;;;;;;51.55738061500597;None;right;1;0.7596373689593747;51.55738061500597;None;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;red;left;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;53.25118364402442;None;ENG;ITA_ENG;;;;;;;;;;;;;;;53.75678658601828;None;left;1;0.8192014809756074;53.75678658601828;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;blue;right;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;1;1;7;;;;;;;;;;;;;;;;;;;;;;54.60706830502022;None;ENG;ITA_ENG;;;;;;;;;;;;;;;55.10689343200647;None;right;1;0.7050341729773208;55.10689343200647;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;blue;right;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;2;2;10;;;;;;;;;;;;;;;;;;;;;;55.84140615200158;None;ENG;ITA_ENG;;;;;;;;;;;;;;;56.35685854102485;None;right;1;0.771793710970087;56.35685854102485;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;green;down;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;57.15694093302591;None;ENG;ITA_ENG;;;;;;;;;;;;;;;57.656950409000274;None;down;1;0.5810158439853694;57.656950409000274;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
